Id,Loc,Ref,DeliveryDate,Quantity,Received,NetAmount,Supplier,PONumber,Date,Currency
15641711/Los Angeles,Los Angeles,15641711,22-06-16,50,50,164.9999975,FHL,PO-200193,20-04-16,USD
15641711/Los Angeles,Los Angeles,15641711,29-07-16,47,47,155.0999977,FHL,PO-200243,26-07-16,USD
16075571/Los Angeles,Los Angeles,16075571,22-06-16,100,100,300,Logipro,PO-200193,20-04-16,GBP
16075571/Los Angeles,Los Angeles,16075571,29-07-16,300,300,900,Logipro,PO-200243,26-07-16,GBP
16075571/Los Angeles,Los Angeles,16075571,1/1/2001,121,0,363,Logipro,PO-200271,24-08-16,GBP
14759689/Los Angeles,Los Angeles,14759689,1/1/2001,103,0,336.8099979,Drecom,PO-200271,24-08-16,GBP
14095459/Los Angeles,Los Angeles,14095459,1/1/2001,100,0,4654.99992,Drecom,PO-200225,8/6/2016,USD
15586718/Los Angeles,Los Angeles,15586718,1/1/2001,200,0,11400,Drecom,PO-200225,8/6/2016,GBP
10095232/Los Angeles,Los Angeles,10095232,5/8/2015,150,150,4002.000045,Office First,102196,27-05-15,EUR
10095232/Los Angeles,Los Angeles,10095232,21-06-16,100,100,2668.00003,Office First,PO-200069,25-11-15,EUR
10095232/Los Angeles,Los Angeles,10095232,20-06-16,100,100,2668.00003,Office First,PO-200081,10/12/2015,EUR
11481389/Los Angeles,Los Angeles,11481389,1/1/2001,2,0,26.4799996,SuperSupply,PO-200257,4/8/2016,GBP
15431986/Los Angeles,Los Angeles,15431986,21-06-16,24,24,291.1200024,Logipro,PO-200069,25-11-15,GBP
15431986/Los Angeles,Los Angeles,15431986,1/1/2001,6,0,72.7800006,Logipro,PO-200271,24-08-16,GBP
12768029/Los Angeles,Los Angeles,12768029,14-06-16,12,12,218.4000096,FHL,PO-200099,7/1/2016,USD
12768029/Los Angeles,Los Angeles,12768029,1/1/2001,2,0,36.4000016,FHL,PO-200257,4/8/2016,USD
